id,resume_url,has_fnb_experience,has_retail_experience,relevant_experience_years,has_waiter_or_service_role,has_baker_or_cake_decorator_role,has_retail_supervisor_role,has_sales_assistant_role
1562337,https://flutter-uploads-production.s3-ap-southeast-1.amazonaws.com/gogetter_resume/6f925d1a-073c-49b2-b643-746140959c5d.pdf,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE
1563489,https://flutter-uploads-production.s3-ap-southeast-1.amazonaws.com/gogetter_resume/aafe355f89b06c82e112415403f45954ca8474b9d4c254c28627f7dbe3f6e689.pdf,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE
1569248,,-,-,-,-,-,-,-
1569351,,-,-,-,-,-,-,-
1571508,,-,-,-,-,-,-,-
1580525,https://flutter-uploads-production.s3-ap-southeast-1.amazonaws.com/gogetter_resume/3b88bac5-24f0-48d9-a970-46a8dcd8b099.pdf,FALSE,TRUE,1,FALSE,FALSE,TRUE,TRUE
1582219,https://flutter-uploads-production.s3-ap-southeast-1.amazonaws.com/gogetter_resume/68f653b349bd6777014e7339761568b29a48f27e2c9023023b19d7e15c5c2c3a.pdf,TRUE,TRUE,1,FALSE,FALSE,FALSE,FALSE
1582272,https://flutter-uploads-production.s3-ap-southeast-1.amazonaws.com/gogetter_resume/8aebdccf63835349d1b26d33dcf4474841fad37607338caae51f553fac99c6b5.pdf,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE
1582396,,-,-,-,-,-,-,-
1582518,https://flutter-uploads-production.s3-ap-southeast-1.amazonaws.com/gogetter_resume/daa2d5d4e4cc398488d231c4fdfdff6ef83d971109d097a9e2ab7c66bde4f2e3.pdf,FALSE,FALSE,0,FALSE,FALSE,FALSE,TRUE
1584363,https://flutter-uploads-production.s3-ap-southeast-1.amazonaws.com/gogetter_resume/41caa1544d57dedb1ccc71eb757291749881ffd217acb0f660a0bab301bc28f5.pdf,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE
1585692,,-,-,-,-,-,-,-
1588624,https://flutter-uploads-production.s3-ap-southeast-1.amazonaws.com/gogetter_resume/215786a9-af1c-4d9d-b3b2-df300eafba18.pdf,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE
1590399,,-,-,-,-,-,-,-
1590482,,-,-,-,-,-,-,-
1592168,https://flutter-uploads-production.s3-ap-southeast-1.amazonaws.com/gogetter_resume/c5bc91bf2802051555a016213d4ac680d4f62598e7e3b3386d22d9baf95b795a.pdf,FALSE,TRUE,13,FALSE,FALSE,FALSE,FALSE
1593742,https://flutter-uploads-production.s3-ap-southeast-1.amazonaws.com/gogetter_resume/e9d01af3a58351c0c4770c24ede4f15f7015c4e9a1952650708ef6f12e6b9999.pdf,FALSE,TRUE,0,FALSE,FALSE,FALSE,TRUE
1596457,https://flutter-uploads-production.s3-ap-southeast-1.amazonaws.com/gogetter_resume/a2cd6c7f-c04c-40fd-a475-acc964a4892a.pdf,FALSE,TRUE,2,TRUE,FALSE,TRUE,TRUE
1597312,https://flutter-uploads-production.s3-ap-southeast-1.amazonaws.com/gogetter_resume/c8d8fabb2d27092d2175056a792e12d9860e3a80f3344501e522593dd3030569.pdf,FALSE,TRUE,0,FALSE,FALSE,TRUE,TRUE
1599544,https://flutter-uploads-production.s3-ap-southeast-1.amazonaws.com/gogetter_resume/8471c997ad26abc0cd5533c07fdc6ec6efc333f33d23dbc9b2f563ed8f461be9.pdf,FALSE,TRUE,1,FALSE,FALSE,FALSE,FALSE
1599693,https://flutter-uploads-production.s3-ap-southeast-1.amazonaws.com/gogetter_resume/93ed0fe7cf576ba09817e0a3f79052275fe7ea6cef420d043b36c20aa24cde7c.pdf,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE
1600035,https://flutter-uploads-production.s3-ap-southeast-1.amazonaws.com/gogetter_resume/eb4d9800-e366-4b15-be8e-08c2269345b2.pdf,FALSE,TRUE,1,FALSE,FALSE,FALSE,FALSE
1608393,https://flutter-uploads-production.s3-ap-southeast-1.amazonaws.com/gogetter_resume/17adb6ea49fe5a257c383aa6a675da2d5277ba218888583d1ba614a7df51721b.pdf,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE
